ts_iso,pid,rss_kb,vsz_kb,cpu_pct,cpu_user_jiffies,cpu_sys_jiffies,fd_count,thread_count,io_read_bytes,io_write_bytes
2026-05-21T12:18:51Z,79568,105156,10115944,0.0,42,34,24,11,0,28672
2026-05-21T12:18:56Z,79568,105216,10116200,0.0,44,37,22,11,0,32768
2026-05-21T12:19:01Z,79568,105220,10116200,0.0,44,37,21,11,0,32768
2026-05-21T12:19:06Z,79568,105220,10116200,0.0,44,37,21,11,0,32768
2026-05-21T12:19:11Z,79568,105220,10116200,0.0,44,37,21,11,0,32768
2026-05-21T12:19:16Z,79568,105220,10116200,0.0,44,37,21,11,0,32768
2026-05-21T12:19:21Z,79568,105220,10116200,0.0,44,37,21,11,0,32768
2026-05-21T12:19:27Z,79568,105220,10116200,0.0,44,37,21,11,0,32768
2026-05-21T12:19:32Z,79568,105220,10116200,0.0,44,37,21,11,0,32768
2026-05-21T12:19:37Z,79568,105220,10116200,0.0,44,37,21,11,0,32768
2026-05-21T12:19:42Z,79568,105220,10116200,0.0,44,37,21,11,0,32768
2026-05-21T12:19:47Z,79568,105220,10116200,0.0,44,37,21,11,0,32768
2026-05-21T12:19:52Z,79568,105220,10116200,0.0,44,37,21,11,0,32768
2026-05-21T12:19:57Z,79568,105220,10116200,0.0,44,37,21,11,0,32768
2026-05-21T12:20:02Z,79568,105220,10116200,0.0,44,37,21,11,0,32768
2026-05-21T12:20:07Z,79568,105220,10116200,0.0,44,37,21,11,0,32768
2026-05-21T12:20:12Z,79568,105220,10116200,0.0,44,37,21,11,0,32768
2026-05-21T12:20:17Z,79568,105220,10116200,0.0,44,37,21,11,0,32768
2026-05-21T12:20:23Z,79568,105220,10116200,0.0,44,37,21,11,0,32768
2026-05-21T12:20:28Z,79568,105220,10116200,0.0,44,37,21,11,0,32768
2026-05-21T12:20:33Z,79568,105220,10116200,0.0,44,37,21,11,0,32768
2026-05-21T12:20:38Z,79568,105220,10116200,0.0,44,37,21,11,0,32768
2026-05-21T12:20:43Z,79568,105220,10116200,0.0,44,37,21,11,0,32768
2026-05-21T12:20:48Z,79568,105220,10116200,0.0,44,37,21,11,0,32768
