ts_iso,pid,rss_kb,vsz_kb,cpu_pct,cpu_user_jiffies,cpu_sys_jiffies,fd_count,thread_count,io_read_bytes,io_write_bytes
2026-05-21T11:48:06Z,18314,84568,10104852,0.2,66,14,21,11,4558848,2641920
2026-05-21T11:48:11Z,18314,84568,10104852,0.2,66,14,21,11,4558848,2641920
2026-05-21T11:48:16Z,18314,84568,10104852,0.2,66,14,21,11,4558848,2641920
2026-05-21T11:48:21Z,18314,84568,10104852,0.2,66,14,21,11,4558848,2641920
2026-05-21T11:48:26Z,18314,86692,10105876,0.2,69,17,24,11,4558848,2641920
2026-05-21T11:48:31Z,18314,86720,10105876,0.2,70,18,24,11,4558848,2641920
2026-05-21T11:48:36Z,18314,86720,10105876,0.2,70,18,24,11,4558848,2641920
2026-05-21T11:48:41Z,18314,86724,10105876,0.2,70,18,24,11,4558848,2641920
2026-05-21T11:48:47Z,18314,86724,10105876,0.2,70,18,24,11,4558848,2641920
2026-05-21T11:48:52Z,18314,86724,10105876,0.2,71,18,24,11,4558848,2641920
2026-05-21T11:48:57Z,18314,88104,10106900,0.3,79,25,22,11,9117696,2646016
2026-05-21T11:49:02Z,18314,88104,10106900,0.3,79,25,21,11,9117696,2646016
2026-05-21T11:49:07Z,18314,88104,10106900,0.3,80,25,21,11,9117696,2646016
2026-05-21T11:49:12Z,18314,88104,10106900,0.3,80,25,21,11,9117696,2646016
2026-05-21T11:49:17Z,18314,88104,10106900,0.2,80,25,21,11,9117696,2646016
2026-05-21T11:49:22Z,18314,88104,10106900,0.2,80,25,21,11,9117696,2646016
2026-05-21T11:49:27Z,18314,88104,10106900,0.2,80,25,21,11,9117696,2646016
2026-05-21T11:49:32Z,18314,88104,10106900,0.2,80,25,21,11,9117696,2646016
2026-05-21T11:49:37Z,18314,88104,10106900,0.2,80,25,21,11,9117696,2646016
2026-05-21T11:49:42Z,18314,88104,10106900,0.2,80,25,21,11,9117696,2646016
2026-05-21T11:49:48Z,18314,88104,10106900,0.2,80,25,21,11,9117696,2646016
2026-05-21T11:49:53Z,18314,88104,10106900,0.2,80,25,21,11,9117696,2646016
2026-05-21T11:49:58Z,18314,88104,10106900,0.2,80,25,21,11,9117696,2646016
2026-05-21T11:50:03Z,18314,88104,10106900,0.2,80,25,21,11,9117696,2646016
2026-05-21T11:50:08Z,18314,88104,10106900,0.2,80,25,21,11,9117696,2646016
2026-05-21T11:50:13Z,18314,88104,10106900,0.2,80,25,21,11,9117696,2646016
2026-05-21T11:50:18Z,18314,88104,10106900,0.2,80,25,21,11,9117696,2646016
2026-05-21T11:50:23Z,18314,88104,10106900,0.2,80,25,21,11,9117696,2646016
2026-05-21T11:50:28Z,18314,88104,10106900,0.2,80,25,21,11,9117696,2646016
2026-05-21T11:50:33Z,18314,88104,10106900,0.2,80,25,21,11,9117696,2646016
2026-05-21T11:50:38Z,18314,88104,10106900,0.2,80,25,21,11,9117696,2646016
2026-05-21T11:50:44Z,18314,88104,10106900,0.2,80,25,21,11,9117696,2646016
2026-05-21T11:50:49Z,18314,88104,10106900,0.2,80,25,21,11,9117696,2646016
2026-05-21T11:50:54Z,18314,88104,10106900,0.2,80,25,21,11,9117696,2646016
2026-05-21T11:50:59Z,18314,88104,10106900,0.2,80,25,21,11,9117696,2646016
2026-05-21T11:51:04Z,18314,88104,10106900,0.2,80,25,21,11,9117696,2646016
2026-05-21T11:51:09Z,18314,88104,10106900,0.2,80,25,21,11,9117696,2646016
2026-05-21T11:51:14Z,18314,88104,10106900,0.2,80,25,21,11,9117696,2646016
2026-05-21T11:51:19Z,18314,88104,10106900,0.2,80,25,21,11,9117696,2646016
2026-05-21T11:51:24Z,18314,88104,10106900,0.2,80,25,21,11,9117696,2646016
2026-05-21T11:51:29Z,18314,88104,10106900,0.2,80,25,21,11,9117696,2646016
2026-05-21T11:51:34Z,18314,88104,10106900,0.2,80,25,21,11,9117696,2646016
2026-05-21T11:51:39Z,18314,88104,10106900,0.2,80,25,21,11,9117696,2646016
2026-05-21T11:51:45Z,18314,88104,10106900,0.2,80,25,21,11,9117696,2646016
2026-05-21T11:51:50Z,18314,88104,10106900,0.2,80,25,21,11,9117696,2646016
2026-05-21T11:51:55Z,18314,88104,10106900,0.2,80,25,21,11,9117696,2646016
